,County,Age,Gender,Monthly Income,Highest Level of Education Attained,Occupation,Location,Did you vote in 2017,Will you vote in the Refere,If No Why,How will you vote in the Referendum,If elections are today who would you vote for,If you dont vote for that one who is your second choice,Do you support BBI,Do you know what BBI wants to change,Do you support the Hustler Nation,Do you think the handshake brought us peace,Who influences youin your community,Do you trust your political leaders,Do you trust your religious leaders,Do you trust your elders,Where do you get your News from,Have you understood BBI completely,Will you vote in 2022,Monthly Income (Kshs)
1628,kericho,31-35,female,"11,001-20,000",kcse,other,rural,yes,yes,,still_deciding,gideon_moi,kalonzo_musyoka,yes,a_little,yes,yes,church_leaders,sometimes,always,always,radio,yes,yes,"11,001-20,000"
1629,uasin_gishu,41-50,male,"0-11,000",certificate,other,peri_urban,yes,undecided,,still_deciding,william_ruto,raila_odinga,no,yes,yes,yes,governor,sometimes,rarely,sometimes,tv,no,yes,"0-11,000"
1630,machakos,25-30,male,"0-11,000",kcpe,transport__matatu__lorry_boda_,rural,yes,no,i_do_not_understand_bbi,still_deciding,william_ruto,none,thinking_about_it,no,yes,yes,mp,often,sometimes,often,radio,no,yes,"0-11,000"
1631,mombasa,36-40,male,"20,001-50,000",certificate,business_owner__hotel_shop_kio,peri_urban,yes,yes,,no__against_it,william_ruto,william_ruto,yes,no,yes,yes,governor,never,never,never,whatsapp,no,yes,"20,001-50,000"
1632,narok,36-40,male,"0-11,000",kcpe,business_owner__hotel_shop_kio,peri_urban,yes,no,i_am_not_interested,i_will_not_vote,william_ruto,none,no,a_little,yes,yes,mcas,never,always,always,tv,no,yes,"0-11,000"
1633,trans_nzoia,18-24,male,"20,001-50,000",kcpe,hustler,peri_urban,no,no,i_do_not_understand_bbi,still_deciding,william_ruto,william_ruto,thinking_about_it,no,yes,yes,my_friends,always,never,always,tv,no,yes,"20,001-50,000"
1634,meru,31-35,male,"11,001-20,000",kcse,subsistence_farmer_subsistence,rural,yes,no,i_do_not_understand_bbi,i_will_not_vote,william_ruto,musalia_mudavadi,no,no,yes,yes,church_leaders,never,always,always,tv,no,yes,"11,001-20,000"
1635,isiolo,51-60,male,"50,001-100,000",diploma,formal_employment__teacher_acc,informal_settlement,yes,yes,,still_deciding,william_ruto,fred_matiangi,yes,yes,yes,yes,chief,often,always,always,tv,no,yes,"50,001-100,000"
1636,isiolo,36-40,female,"11,001-20,000",none,unemployed,rural,yes,no,i_do_not_understand_bbi,i_will_not_vote,william_ruto,gideon_moi,no,no,yes,yes,elders,rarely,always,always,tv,no,yes,"11,001-20,000"
1637,migori,18-24,female,"0-11,000",kcse,unemployed,rural,yes,undecided,,yes__for_it,william_ruto,kalonzo_musyoka,no,no,yes,no_response,mcas,never,rarely,always,radio,no,yes,"0-11,000"
1638,meru,18-24,female,"0-11,000",kcse,unemployed,rural,no,no,i_am_not_interested,no__against_it,william_ruto,musalia_mudavadi,don_t_care,a_little,yes,yes,mp,never,always,always,whatsapp,no,yes,"0-11,000"
1639,laikipia,25-30,male,"11,001-20,000",diploma,hustler,urban,yes,yes,,no__against_it,william_ruto,raila_odinga,no,yes,yes,no,my_friends,never,never,always,tv,no,yes,"11,001-20,000"
1640,nairobi,36-40,female,"11,001-20,000",undergraduate,formal_employment__teacher_acc,peri_urban,yes,yes,,yes__for_it,raila_odinga,raila_odinga,yes,a_little,no,yes,church_leaders,rarely,always,often,tv,yes,yes,"11,001-20,000"
1641,trans_nzoia,51-60,male,"0-11,000",kcse,business_owner__hotel_shop_kio,rural,yes,yes,,yes__for_it,musalia_mudavadi,william_ruto,thinking_about_it,no,no,yes,no_one,sometimes,always,always,tv,no,yes,"0-11,000"
1642,kericho,36-40,female,"0-11,000",diploma,business_owner__hotel_shop_kio,rural,yes,yes,,still_deciding,peter_kenneth,william_ruto,no,no,i_do_not_know_about_it,yes,church_leaders,sometimes,always,always,radio,no,yes,"0-11,000"
1643,embu,51-60,female,"0-11,000",kcpe,cash_crop_farmer_commercial_fi,rural,yes,yes,,yes__for_it,william_ruto,kalonzo_musyoka,yes,a_little,no,yes,elders,sometimes,sometimes,often,radio,no,yes,"0-11,000"
1644,machakos,41-50,female,"0-11,000",kcpe,business_owner__hotel_shop_kio,rural,yes,yes,,no__against_it,william_ruto,gideon_moi,no,a_little,yes,yes,church_leaders,never,always,often,tv,maybe,yes,"0-11,000"
1645,kirinyaga,18-24,female,"11,001-20,000",kcse,business_owner__hotel_shop_kio,peri_urban,yes,yes,,no__against_it,william_ruto,gideon_moi,don_t_care,a_little,yes,yes,church_leaders,sometimes,often,often,tv,no,yes,"11,001-20,000"
1646,kirinyaga,41-50,male,"20,001-50,000",kcse,informal_employment__jua_kali_,peri_urban,yes,no,i_do_not_understand_bbi,no__against_it,william_ruto,raila_odinga,don_t_care,a_little,not_sure,yes,church_leaders,sometimes,rarely,often,tv,no,yes,"20,001-50,000"
1647,mombasa,25-30,male,"0-11,000",undergraduate,unemployed,peri_urban,yes,yes,,no__against_it,william_ruto,none,no,a_little,yes,no,no_one,often,always,often,twitter,maybe,yes,"0-11,000"
1648,mombasa,25-30,male,"0-11,000",kcse,hustler,peri_urban,yes,no,i_do_not_understand_bbi,i_will_not_vote,william_ruto,none,no,no,yes,no_response,business_leaders,rarely,sometimes,often,twitter,no,yes,"0-11,000"
1649,kiambu,31-35,male,"20,001-50,000",kcse,subsistence_farmer_subsistence,rural,yes,yes,,no__against_it,william_ruto,william_ruto,no,no,yes,yes,mp,never,often,often,tv,no,yes,"20,001-50,000"
1650,meru,25-30,male,"0-11,000",undergraduate,hustler,peri_urban,no,undecided,,still_deciding,none,none,no,a_little,yes,no,business_leaders,never,always,always,tv,no,undecided,"0-11,000"
1651,kisumu,25-30,female,"20,001-50,000",undergraduate,formal_employment__teacher_acc,urban,yes,yes,,no__against_it,none,none,no,no,no,yes,no_one,never,never,always,twitter,no,yes,"20,001-50,000"
1652,trans_nzoia,25-30,male,"0-11,000",certificate,informal_employment__jua_kali_,peri_urban,no,yes,,yes__for_it,raila_odinga,peter_kenneth,yes,a_little,yes,yes,my_friends,always,always,always,tv,maybe,yes,"0-11,000"
1653,kirinyaga,25-30,male,"0-11,000",certificate,subsistence_farmer_subsistence,rural,yes,undecided,,no__against_it,william_ruto,gideon_moi,no,no,not_sure,yes,mp,rarely,always,often,tv,no,yes,"0-11,000"
1654,machakos,36-40,female,"0-11,000",kcpe,transport__matatu__lorry_boda_,rural,yes,undecided,,still_deciding,raila_odinga,william_ruto,no,no,no,yes,mp,rarely,rarely,never,tv,no,no,"0-11,000"
1655,nairobi,31-35,female,"11,001-20,000",diploma,business_owner__hotel_shop_kio,urban,yes,no,i_do_not_understand_bbi,still_deciding,martha_karua,fred_matiangi,no,a_little,yes,yes,my_friends,often,sometimes,often,facebook,no,yes,"11,001-20,000"
1656,kericho,36-40,female,"0-11,000",postgraduate,business_owner__hotel_shop_kio,peri_urban,yes,no,the_referendum_will_cost_too_much,i_will_not_vote,peter_kenneth,fred_matiangi,no,no,yes,no,church_leaders,never,always,sometimes,tv,no,yes,"0-11,000"
1657,kericho,18-24,female,"0-11,000",kcse,hustler,peri_urban,no,no,the_referendum_will_cost_too_much,i_will_not_vote,william_ruto,none,no,a_little,yes,no,elders,sometimes,never,never,youtube,no,yes,"0-11,000"
1658,migori,18-24,male,"0-11,000",certificate,cash_crop_farmer_commercial_fi,rural,yes,yes,,yes__for_it,raila_odinga,william_ruto,yes,no,yes,yes,governor,sometimes,sometimes,sometimes,radio,yes,yes,"0-11,000"
1659,narok,51-60,female,"11,001-20,000",none,subsistence_farmer_subsistence,rural,yes,yes,,yes__for_it,musalia_mudavadi,fred_matiangi,thinking_about_it,a_little,i_do_not_know_about_it,yes,chief,never,often,often,tv,maybe,yes,"11,001-20,000"
1660,mombasa,36-40,male,"20,001-50,000",kcpe,business_owner__hotel_shop_kio,peri_urban,yes,yes,,no__against_it,william_ruto,fred_matiangi,no,no,yes,yes,no_one,rarely,often,often,tv,no,yes,"20,001-50,000"
1661,mombasa,25-30,male,"11,001-20,000",diploma,business_owner__hotel_shop_kio,peri_urban,yes,yes,,yes__for_it,none,none,thinking_about_it,no,yes,yes,mcas,never,never,never,tv,no,yes,"11,001-20,000"
1662,kirinyaga,25-30,female,"0-11,000",kcse,informal_employment__jua_kali_,rural,yes,yes,,yes__for_it,william_ruto,none,yes,a_little,not_sure,yes,mp,often,always,always,tv,no,yes,"0-11,000"
1663,machakos,18-24,male,"11,001-20,000",kcse,transport__matatu__lorry_boda_,rural,no,no,i_do_not_understand_bbi,i_will_not_vote,kalonzo_musyoka,none,no,a_little,no,yes,mcas,always,always,always,tv,no,undecided,"11,001-20,000"
1664,isiolo,36-40,female,"0-11,000",none,other,peri_urban,yes,no,i_do_not_understand_bbi,i_will_not_vote,kalonzo_musyoka,william_ruto,no,no,yes,no,church_leaders,never,always,always,radio,no,yes,"0-11,000"
1665,kisumu,31-35,female,"20,001-50,000",diploma,business_owner__hotel_shop_kio,urban,yes,undecided,,still_deciding,william_ruto,musalia_mudavadi,no,yes,yes,yes,no_one,never,sometimes,sometimes,tv,yes,yes,"20,001-50,000"
1666,kisii,25-30,male,"20,001-50,000",diploma,formal_employment__teacher_acc,peri_urban,yes,yes,,still_deciding,raila_odinga,fred_matiangi,yes,yes,no,yes,church_leaders,never,always,always,tv,no,yes,"20,001-50,000"
1667,nyeri,51-60,male,"0-11,000",kcpe,hustler,rural,yes,undecided,,yes__for_it,none,none,yes,no,yes,no_response,chief,always,always,always,radio,no,yes,"0-11,000"
1668,laikipia,over-61,female,"11,001-20,000",kcse,business_owner__hotel_shop_kio,urban,yes,undecided,,still_deciding,william_ruto,fred_matiangi,yes,a_little,yes,yes,church_leaders,rarely,always,always,tv,maybe,yes,"11,001-20,000"
1669,kiambu,51-60,female,"11,001-20,000",kcse,business_owner__hotel_shop_kio,peri_urban,yes,yes,,yes__for_it,william_ruto,fred_matiangi,no,no,yes,yes,mp,sometimes,always,always,tv,no,yes,"11,001-20,000"
1670,meru,18-24,male,"0-11,000",kcse,informal_employment__jua_kali_,rural,yes,no,current_constitution_is_ok,no__against_it,william_ruto,raila_odinga,no,a_little,yes,no,church_leaders,never,sometimes,always,tv,maybe,yes,"0-11,000"
1671,embu,51-60,male,"20,001-50,000",kcse,business_owner__hotel_shop_kio,peri_urban,yes,yes,,no__against_it,william_ruto,none,no,no,yes,yes,no_one,never,sometimes,sometimes,tv,no,yes,"20,001-50,000"
1672,machakos,51-60,male,"0-11,000",kcpe,informal_employment__jua_kali_,rural,yes,undecided,,still_deciding,raila_odinga,raila_odinga,no,no,no,no,chief,always,rarely,rarely,tv,no,yes,"0-11,000"
1673,nyeri,over-61,male,"0-11,000",kcpe,business_owner__hotel_shop_kio,urban,yes,yes,,yes__for_it,william_ruto,none,yes,a_little,yes,yes,elders,rarely,sometimes,sometimes,radio,no,yes,"0-11,000"
1674,nyeri,over-61,male,"20,001-50,000",kcpe,cash_crop_farmer_commercial_fi,rural,yes,no,i_do_not_understand_bbi,i_will_not_vote,william_ruto,musalia_mudavadi,no,no,i_do_not_know_about_it,yes,mcas,sometimes,sometimes,often,radio,no,yes,"20,001-50,000"
1675,kiambu,51-60,male,"0-11,000",kcpe,subsistence_farmer_subsistence,rural,yes,undecided,,no__against_it,william_ruto,none,no,a_little,not_sure,yes,church_leaders,sometimes,sometimes,often,radio,no,yes,"0-11,000"
1676,kericho,25-30,male,"0-11,000",postgraduate,business_owner__hotel_shop_kio,rural,no,no,i_am_not_interested,i_will_not_vote,raila_odinga,william_ruto,no,a_little,no,yes,elders,never,never,rarely,facebook,no,yes,"0-11,000"
1677,trans_nzoia,41-50,male,"0-11,000",kcpe,hustler,urban,yes,no,i_do_not_understand_bbi,no__against_it,musalia_mudavadi,raila_odinga,no,no,yes,yes,business_leaders,never,always,always,radio,no,yes,"0-11,000"
1678,kirinyaga,41-50,male,"11,001-20,000",kcpe,unemployed,urban,yes,undecided,,still_deciding,william_ruto,fred_matiangi,no,no,yes,no,my_friends,never,rarely,always,tv,no,undecided,"11,001-20,000"
1679,embu,51-60,male,"50,001-100,000",diploma,formal_employment__teacher_acc,peri_urban,yes,undecided,,still_deciding,william_ruto,fred_matiangi,no,a_little,yes,yes,mcas,never,always,always,radio,no,yes,"50,001-100,000"
1680,kakamega,31-35,male,"0-11,000",kcse,transport__matatu__lorry_boda_,rural,yes,yes,,yes__for_it,musalia_mudavadi,none,yes,yes,no,yes,mp,rarely,rarely,sometimes,facebook,maybe,yes,"0-11,000"
1681,trans_nzoia,25-30,female,"0-11,000",certificate,business_owner__hotel_shop_kio,urban,yes,undecided,,still_deciding,musalia_mudavadi,fred_matiangi,thinking_about_it,a_little,no,yes,mp,never,sometimes,sometimes,facebook,no,yes,"0-11,000"
1682,kakamega,41-50,male,"20,001-50,000",postgraduate,business_owner__hotel_shop_kio,rural,yes,yes,,still_deciding,musalia_mudavadi,gideon_moi,no,yes,no,no,business_leaders,never,rarely,sometimes,newspapers,yes,yes,"20,001-50,000"
1683,kirinyaga,41-50,male,"0-11,000",diploma,transport__matatu__lorry_boda_,rural,yes,no,i_do_not_understand_bbi,i_will_not_vote,william_ruto,musalia_mudavadi,no,no,yes,yes,business_leaders,never,always,always,facebook,no,yes,"0-11,000"
1684,nairobi,31-35,female,"11,001-20,000",certificate,business_owner__hotel_shop_kio,peri_urban,yes,undecided,,still_deciding,peter_kenneth,peter_kenneth,thinking_about_it,a_little,no_response,no_response,business_leaders,never,sometimes,sometimes,tv,no,undecided,"11,001-20,000"
1685,laikipia,18-24,male,"11,001-20,000",kcse,hustler,urban,yes,no,current_constitution_is_ok,i_will_not_vote,william_ruto,peter_kenneth,no,a_little,yes,no,no_one,never,never,never,tv,no,yes,"11,001-20,000"
1686,nairobi,18-24,male,"0-11,000",undergraduate,hustler,urban,no,undecided,,still_deciding,raila_odinga,gideon_moi,thinking_about_it,a_little,yes,yes,church_leaders,never,sometimes,rarely,tv,maybe,undecided,"0-11,000"
1687,machakos,36-40,female,"0-11,000",kcpe,cash_crop_farmer_commercial_fi,rural,yes,no,i_do_not_understand_bbi,i_will_not_vote,kalonzo_musyoka,gideon_moi,no,no,no,no,mp,never,never,never,tv,no,no,"0-11,000"
1688,machakos,18-24,male,"11,001-20,000",kcse,hustler,informal_settlement,yes,no,current_constitution_is_ok,i_will_not_vote,kalonzo_musyoka,gideon_moi,no,no,i_do_not_know_about_it,yes,my_friends,never,never,never,my_friends,no,undecided,"11,001-20,000"
1689,migori,41-50,male,"0-11,000",kcse,business_owner__hotel_shop_kio,urban,yes,yes,,yes__for_it,william_ruto,fred_matiangi,no,no,yes,yes,church_leaders,never,always,always,tv,no,yes,"0-11,000"
1690,migori,18-24,male,"0-11,000",kcse,unemployed,rural,no,undecided,,yes__for_it,fred_matiangi,raila_odinga,yes,yes,no,yes,no_one,never,sometimes,never,twitter,no,yes,"0-11,000"
1691,kirinyaga,25-30,male,"20,001-50,000",kcse,business_owner__hotel_shop_kio,urban,yes,undecided,,still_deciding,william_ruto,none,no,no,yes,yes,mp,always,never,always,radio,no,yes,"20,001-50,000"
1692,laikipia,51-60,male,"11,001-20,000",diploma,business_owner__hotel_shop_kio,urban,yes,yes,,still_deciding,william_ruto,raila_odinga,yes,a_little,no,yes,governor,rarely,rarely,always,tv,yes,yes,"11,001-20,000"
1693,nyeri,18-24,male,"0-11,000",kcpe,hustler,urban,no,yes,,yes__for_it,william_ruto,peter_kenneth,no,no,yes,yes,my_friends,sometimes,sometimes,sometimes,radio,no,yes,"0-11,000"
1694,isiolo,31-35,female,"0-11,000",none,business_owner__hotel_shop_kio,rural,yes,no,i_do_not_understand_bbi,i_will_not_vote,william_ruto,kalonzo_musyoka,no,no,yes,no,church_leaders,never,always,sometimes,tv,no,yes,"0-11,000"
1695,narok,51-60,male,"0-11,000",kcpe,subsistence_farmer_subsistence,rural,yes,undecided,,still_deciding,raila_odinga,none,thinking_about_it,no,i_do_not_know_about_it,yes,mcas,never,always,always,radio,no,undecided,"0-11,000"
1696,kisumu,31-35,male,"50,001-100,000",undergraduate,formal_employment__teacher_acc,urban,yes,yes,,yes__for_it,raila_odinga,musalia_mudavadi,yes,yes,no,yes,business_leaders,never,never,sometimes,tv,yes,yes,"50,001-100,000"
1697,nakuru,41-50,female,"0-11,000",kcpe,business_owner__hotel_shop_kio,rural,yes,undecided,,still_deciding,none,none,no,no,not_sure,yes,church_leaders,never,always,always,tv,no,yes,"0-11,000"
1698,nakuru,18-24,male,"11,001-20,000",kcse,hustler,rural,no,yes,,yes__for_it,none,none,no,no,yes,no,elders,never,sometimes,always,tv,no,no,"11,001-20,000"
1699,isiolo,36-40,female,"0-11,000",none,other,rural,yes,no,i_do_not_understand_bbi,i_will_not_vote,none,none,no,no,i_do_not_know_about_it,no,chief,never,never,always,radio,no,no,"0-11,000"
1700,kericho,25-30,female,"0-11,000",postgraduate,hustler,peri_urban,yes,yes,,no__against_it,william_ruto,none,no,a_little,yes,no,mcas,sometimes,always,sometimes,tv,no,yes,"0-11,000"
1701,kakamega,31-35,female,"11,001-20,000",kcse,subsistence_farmer_subsistence,rural,yes,yes,,yes__for_it,musalia_mudavadi,william_ruto,no,no,no,no_response,mp,sometimes,always,rarely,radio,maybe,yes,"11,001-20,000"
1702,migori,25-30,male,"0-11,000",kcse,business_owner__hotel_shop_kio,urban,yes,yes,,yes__for_it,raila_odinga,william_ruto,yes,yes,yes,yes,mp,sometimes,sometimes,never,tv,no,yes,"0-11,000"
1703,machakos,36-40,female,"11,001-20,000",kcse,hustler,rural,yes,undecided,,still_deciding,kalonzo_musyoka,fred_matiangi,thinking_about_it,a_little,no,yes,no_one,never,sometimes,sometimes,radio,no,undecided,"11,001-20,000"
1704,kirinyaga,41-50,female,"0-11,000",certificate,formal_employment__teacher_acc,urban,yes,undecided,,still_deciding,william_ruto,peter_kenneth,thinking_about_it,yes,yes,yes,church_leaders,often,always,always,tv,maybe,yes,"0-11,000"
1705,kisumu,25-30,female,"20,001-50,000",diploma,formal_employment__teacher_acc,urban,yes,yes,,no__against_it,william_ruto,william_ruto,no,yes,yes,yes,business_leaders,never,often,never,tv,yes,yes,"20,001-50,000"
1706,machakos,25-30,male,"0-11,000",kcpe,transport__matatu__lorry_boda_,rural,yes,undecided,,still_deciding,william_ruto,kalonzo_musyoka,don_t_care,no,yes,no,mp,rarely,rarely,never,facebook,no,yes,"0-11,000"
1707,nairobi,31-35,male,"20,001-50,000",kcpe,hustler,urban,yes,no,i_am_not_interested,i_will_not_vote,none,none,no,no,no,yes,no_one,never,sometimes,rarely,tv,no,no,"20,001-50,000"
1708,embu,51-60,male,"11,001-20,000",kcse,business_owner__hotel_shop_kio,rural,yes,yes,,yes__for_it,fred_matiangi,peter_kenneth,yes,yes,no,yes,mp,sometimes,sometimes,always,radio,yes,yes,"11,001-20,000"
1709,narok,25-30,male,"11,001-20,000",none,informal_employment__jua_kali_,rural,no,no,i_do_not_understand_bbi,i_will_not_vote,raila_odinga,none,yes,no,no,yes,mcas,always,always,always,radio,no,yes,"11,001-20,000"
1710,meru,51-60,female,"0-11,000",kcse,subsistence_farmer_subsistence,rural,yes,undecided,,still_deciding,martha_karua,william_ruto,thinking_about_it,no,not_sure,yes,church_leaders,never,always,always,tv,no,yes,"0-11,000"
1711,trans_nzoia,36-40,male,"100,001-200,000",diploma,business_owner__hotel_shop_kio,urban,yes,yes,,no__against_it,william_ruto,fred_matiangi,no,yes,yes,yes,my_friends,always,always,always,tv,yes,yes,"100,001-200,000"
1712,migori,31-35,male,"20,001-50,000",kcpe,informal_employment__jua_kali_,rural,no,no,i_do_not_understand_bbi,no__against_it,raila_odinga,musalia_mudavadi,yes,no,no,yes,mp,never,always,always,radio,yes,yes,"20,001-50,000"
1713,migori,36-40,male,"20,001-50,000",kcpe,business_owner__hotel_shop_kio,rural,yes,yes,,yes__for_it,fred_matiangi,william_ruto,no,no,yes,yes,no_one,always,always,sometimes,radio,no,yes,"20,001-50,000"
1714,kericho,31-35,female,"0-11,000",kcpe,hustler,rural,yes,yes,,yes__for_it,raila_odinga,none,yes,a_little,no,yes,mp,often,sometimes,always,radio,yes,yes,"0-11,000"
1715,laikipia,18-24,male,"0-11,000",kcse,formal_employment__teacher_acc,peri_urban,yes,no,i_am_not_interested,i_will_not_vote,musalia_mudavadi,kalonzo_musyoka,yes,yes,no,yes,no_one,never,always,always,newspapers,maybe,yes,"0-11,000"
1716,kitui,31-35,male,"11,001-20,000",kcpe,business_owner__hotel_shop_kio,peri_urban,yes,undecided,,no__against_it,william_ruto,none,no,no,yes,yes,no_one,never,often,often,radio,yes,yes,"11,001-20,000"
1717,mombasa,36-40,male,"11,001-20,000",kcse,transport__matatu__lorry_boda_,peri_urban,yes,yes,,yes__for_it,none,none,thinking_about_it,no,yes,yes,mp,never,never,never,tv,no,yes,"11,001-20,000"
1718,isiolo,18-24,female,"0-11,000",kcse,business_owner__hotel_shop_kio,peri_urban,yes,yes,,yes__for_it,william_ruto,raila_odinga,yes,yes,yes,yes,church_leaders,never,sometimes,always,radio,maybe,yes,"0-11,000"
1719,laikipia,36-40,male,"20,001-50,000",kcse,informal_employment__jua_kali_,urban,yes,yes,,no__against_it,william_ruto,none,no,yes,yes,no,no_one,always,never,never,youtube,maybe,yes,"20,001-50,000"
1720,nyeri,51-60,male,"0-11,000",kcpe,unemployed,urban,yes,yes,,still_deciding,william_ruto,william_ruto,no,no,no,no,no_one,never,rarely,sometimes,radio,no,yes,"0-11,000"
1721,machakos,41-50,female,"0-11,000",diploma,business_owner__hotel_shop_kio,rural,yes,yes,,no__against_it,kalonzo_musyoka,william_ruto,no,a_little,yes,no_response,my_friends,often,always,often,tv,no,yes,"0-11,000"
1722,trans_nzoia,18-24,female,"11,001-20,000",diploma,business_owner__hotel_shop_kio,urban,yes,no,i_am_not_interested,i_will_not_vote,william_ruto,william_ruto,no,no,yes,no,my_friends,never,always,never,tv,no,yes,"11,001-20,000"
1723,nyeri,31-35,male,"0-11,000",kcse,hustler,urban,yes,no,i_do_not_understand_bbi,no__against_it,william_ruto,william_ruto,no,no,yes,yes,governor,rarely,sometimes,always,radio,no,no,"0-11,000"
1724,nairobi,25-30,female,"20,001-50,000",diploma,formal_employment__teacher_acc,urban,no,other,,still_deciding,william_ruto,none,no,no,yes,no,church_leaders,never,always,rarely,whatsapp,no,no,"20,001-50,000"
1725,laikipia,31-35,female,"0-11,000",kcpe,other,rural,no,undecided,,i_will_not_vote,none,none,don_t_care,no,no,no,my_friends,never,always,often,facebook,i_don_t_care,no,"0-11,000"
1726,kakamega,25-30,female,"0-11,000",certificate,unemployed,rural,yes,undecided,,still_deciding,musalia_mudavadi,musalia_mudavadi,don_t_care,no,not_sure,yes,mp,sometimes,rarely,sometimes,tv,no,yes,"0-11,000"
1727,meru,31-35,male,"0-11,000",kcse,informal_employment__jua_kali_,peri_urban,yes,no,i_do_not_understand_bbi,i_will_not_vote,william_ruto,none,no,no,yes,no,mcas,always,rarely,always,radio,no,yes,"0-11,000"
1728,kericho,36-40,male,"11,001-20,000",kcpe,informal_employment__jua_kali_,rural,no,undecided,,no__against_it,william_ruto,none,no,a_little,yes,no,elders,never,never,never,tv,no,yes,"11,001-20,000"
1729,kirinyaga,36-40,female,"11,001-20,000",kcse,business_owner__hotel_shop_kio,rural,yes,yes,,yes__for_it,william_ruto,none,yes,yes,yes,yes,mp,always,always,always,tv,yes,yes,"11,001-20,000"
1730,trans_nzoia,18-24,female,"11,001-20,000",kcse,hustler,urban,yes,undecided,,still_deciding,musalia_mudavadi,musalia_mudavadi,thinking_about_it,no,no,yes,my_friends,rarely,always,always,tv,no,yes,"11,001-20,000"
1731,isiolo,over-61,male,"0-11,000",none,subsistence_farmer_subsistence,rural,yes,no,i_do_not_understand_bbi,i_will_not_vote,william_ruto,none,no,no,yes,no,chief,never,always,always,radio,no,yes,"0-11,000"
1732,kitui,31-35,male,"11,001-20,000",diploma,formal_employment__teacher_acc,urban,yes,yes,,yes__for_it,william_ruto,kalonzo_musyoka,yes,yes,yes,yes,mcas,often,always,always,tv,yes,yes,"11,001-20,000"
1733,kericho,18-24,male,"11,001-20,000",kcpe,hustler,rural,no,yes,,yes__for_it,william_ruto,peter_kenneth,yes,a_little,yes,no,governor,never,rarely,often,tv,yes,yes,"11,001-20,000"
1734,kirinyaga,36-40,male,"0-11,000",kcpe,hustler,rural,no,no,i_do_not_understand_bbi,i_will_not_vote,none,none,no,no,no,no,my_friends,never,never,never,tv,no,no,"0-11,000"
1735,meru,18-24,male,"0-11,000",kcse,unemployed,rural,no,no,i_am_not_interested,i_will_not_vote,william_ruto,none,no,a_little,i_do_not_know_about_it,no,my_friends,never,never,sometimes,whatsapp,maybe,response,"0-11,000"
1736,trans_nzoia,31-35,male,"0-11,000",kcse,transport__matatu__lorry_boda_,urban,yes,yes,,no__against_it,musalia_mudavadi,musalia_mudavadi,no,a_little,yes,yes,church_leaders,sometimes,always,always,tv,no,yes,"0-11,000"
1737,narok,18-24,male,"20,001-50,000",kcpe,transport__matatu__lorry_boda_,rural,yes,yes,,yes__for_it,raila_odinga,none,yes,a_little,no,yes,mp,never,often,sometimes,radio,no,yes,"20,001-50,000"
1738,nairobi,25-30,male,"0-11,000",certificate,transport__matatu__lorry_boda_,peri_urban,yes,undecided,,still_deciding,raila_odinga,none,thinking_about_it,a_little,no_response,yes,my_friends,never,sometimes,sometimes,tv,maybe,response,"0-11,000"
1739,kisii,over-61,male,"0-11,000",certificate,unemployed,rural,yes,no,the_referendum_will_cost_too_much,no__against_it,william_ruto,none,no,no,yes,no,no_one,never,sometimes,rarely,radio,yes,undecided,"0-11,000"
1740,nyeri,18-24,male,"0-11,000",kcse,informal_employment__jua_kali_,urban,no,undecided,,no__against_it,william_ruto,fred_matiangi,no,yes,yes,no,mcas,often,rarely,always,tv,yes,no,"0-11,000"
1741,machakos,18-24,male,"20,001-50,000",undergraduate,business_owner__hotel_shop_kio,rural,no,yes,,still_deciding,william_ruto,none,no,no,yes,yes,business_leaders,never,never,never,youtube,no,yes,"20,001-50,000"
1742,nyeri,18-24,male,"0-11,000",certificate,business_owner__hotel_shop_kio,urban,no,no,i_do_not_understand_bbi,i_will_not_vote,martha_karua,fred_matiangi,no,no,yes,yes,church_leaders,rarely,always,always,tv,no,undecided,"0-11,000"
1743,isiolo,36-40,male,"11,001-20,000",none,transport__matatu__lorry_boda_,peri_urban,yes,no,i_am_not_interested,i_will_not_vote,william_ruto,none,no,no,yes,yes,elders,never,always,always,radio,no,yes,"11,001-20,000"
1744,mombasa,36-40,male,"0-11,000",kcpe,business_owner__hotel_shop_kio,peri_urban,yes,no,i_am_not_interested,i_will_not_vote,william_ruto,kalonzo_musyoka,no,no,yes,yes,church_leaders,sometimes,always,often,tv,no,yes,"0-11,000"
1745,meru,31-35,female,"0-11,000",kcse,business_owner__hotel_shop_kio,rural,yes,undecided,,still_deciding,martha_karua,william_ruto,no,no,yes,no,church_leaders,often,always,often,radio,no,undecided,"0-11,000"
1746,trans_nzoia,51-60,male,"0-11,000",kcpe,business_owner__hotel_shop_kio,rural,yes,yes,,yes__for_it,none,none,yes,a_little,i_do_not_know_about_it,yes,my_friends,never,always,always,tv,maybe,yes,"0-11,000"
1747,kisumu,41-50,male,"20,001-50,000",diploma,formal_employment__teacher_acc,urban,yes,yes,,yes__for_it,none,none,yes,yes,no,yes,mp,rarely,often,rarely,tv,yes,yes,"20,001-50,000"
1748,kakamega,25-30,male,"0-11,000",kcpe,transport__matatu__lorry_boda_,rural,yes,undecided,,still_deciding,musalia_mudavadi,william_ruto,no,no,no,yes,mp,never,sometimes,sometimes,radio,no,yes,"0-11,000"
